"cd ad pstcd","total","date"
3461,19,2022-03-01
3462,4,2022-03-01
3463,9,2022-03-01
3464,6,2022-03-01
3465,35,2022-03-01
3467,5,2022-03-01
3468,2,2022-03-01
3469,5,2022-03-01
3472,8,2022-03-01
3475,2,2022-03-01
3477,3,2022-03-01
3478,14,2022-03-01
3480,5,2022-03-01
3482,2,2022-03-01
3483,5,2022-03-01
3485,2,2022-03-01
3487,1,2022-03-01
3490,6,2022-03-01
3491,2,2022-03-01
3494,6,2022-03-01
3496,26,2022-03-01
3498,27,2022-03-01
3500,166,2022-03-01
3501,30,2022-03-01
3502,4,2022-03-01
3505,17,2022-03-01
3506,1,2022-03-01
3507,1,2022-03-01
3512,1,2022-03-01
3515,13,2022-03-01
3516,8,2022-03-01
3517,1,2022-03-01
3518,6,2022-03-01
3521,5,2022-03-01
3523,13,2022-03-01
3525,7,2022-03-01
3527,4,2022-03-01
3533,5,2022-03-01
3537,3,2022-03-01
3540,2,2022-03-01
3546,2,2022-03-01
3549,10,2022-03-01
3550,163,2022-03-01
3551,203,2022-03-01
3552,2,2022-03-01
3555,62,2022-03-01
3556,29,2022-03-01
3557,7,2022-03-01
3558,14,2022-03-01
3559,3,2022-03-01
3561,25,2022-03-01
3562,1,2022-03-01
3563,2,2022-03-01
3564,115,2022-03-01
3566,3,2022-03-01
3567,4,2022-03-01
3568,20,2022-03-01
3570,5,2022-03-01
3571,3,2022-03-01
3572,2,2022-03-01
3573,2,2022-03-01
3575,2,2022-03-01
3576,1,2022-03-01
3579,13,2022-03-01
3580,9,2022-03-01
3583,1,2022-03-01
3584,5,2022-03-01
3585,90,2022-03-01
3586,7,2022-03-01
3588,2,2022-03-01
3591,1,2022-03-01
3594,5,2022-03-01
3595,1,2022-03-01
3597,1,2022-03-01
3599,2,2022-03-01
3608,20,2022-03-01
3610,5,2022-03-01
3612,7,2022-03-01
3614,5,2022-03-01
3616,22,2022-03-01
3617,1,2022-03-01
3618,1,2022-03-01
3620,42,2022-03-01
3621,6,2022-03-01
3622,2,2022-03-01
3623,1,2022-03-01
3624,4,2022-03-01
3629,23,2022-03-01
3630,177,2022-03-01
3631,66,2022-03-01
3632,4,2022-03-01
3633,4,2022-03-01
3634,5,2022-03-01
3635,2,2022-03-01
3636,18,2022-03-01
3638,11,2022-03-01
3639,5,2022-03-01
3640,4,2022-03-01
3641,3,2022-03-01
3644,40,2022-03-01
3646,1,2022-03-01
3649,1,2022-03-01
3658,20,2022-03-01
3659,3,2022-03-01
3660,40,2022-03-01
3662,4,2022-03-01
3664,4,2022-03-01
3665,2,2022-03-01
3666,22,2022-03-01
3669,6,2022-03-01
3670,3,2022-03-01
3672,27,2022-03-01
3673,15,2022-03-01
3675,5,2022-03-01
3677,53,2022-03-01
3678,25,2022-03-01
3682,11,2022-03-01
3683,6,2022-03-01
3685,11,2022-03-01
3687,5,2022-03-01
3688,6,2022-03-01
3689,1,2022-03-01
3690,197,2022-03-01
3691,49,2022-03-01
3695,5,2022-03-01
3697,2,2022-03-01
3698,6,2022-03-01
3699,1,2022-03-01
3700,6,2022-03-01
3701,9,2022-03-01
3707,14,2022-03-01
3709,3,2022-03-01
3711,4,2022-03-01
3712,1,2022-03-01
3713,9,2022-03-01
3714,20,2022-03-01
3717,16,2022-03-01
3719,5,2022-03-01
3720,3,2022-03-01
3722,29,2022-03-01
3723,24,2022-03-01
3725,1,2022-03-01
3726,1,2022-03-01
3727,5,2022-03-01
3728,6,2022-03-01
3730,54,2022-03-01
3732,9,2022-03-01
3735,7,2022-03-01
3737,12,2022-03-01
3739,4,2022-03-01
3740,7,2022-03-01
3741,10,2022-03-01
3744,1,2022-03-01
3747,25,2022-03-01
3749,8,2022-03-01
3750,96,2022-03-01
3752,108,2022-03-01
3753,28,2022-03-01
3754,193,2022-03-01
3756,64,2022-03-01
3757,32,2022-03-01
3758,6,2022-03-01
3759,2,2022-03-01
3760,1,2022-03-01
3761,2,2022-03-01
3762,1,2022-03-01
3763,6,2022-03-01
3764,44,2022-03-01
3765,27,2022-03-01
3766,1,2022-03-01
3767,4,2022-03-01
3770,17,2022-03-01
3775,18,2022-03-01
3777,41,2022-03-01
3778,2,2022-03-01
3779,2,2022-03-01
3781,19,2022-03-01
3782,27,2022-03-01
3783,8,2022-03-01
3786,4,2022-03-01
3787,4,2022-03-01
3788,9,2022-03-01
3791,5,2022-03-01
3792,2,2022-03-01
3793,11,2022-03-01
3795,7,2022-03-01
3796,25,2022-03-01
3797,15,2022-03-01
3799,14,2022-03-01
3800,1,2022-03-01
3802,65,2022-03-01
3803,55,2022-03-01
3804,29,2022-03-01
3805,192,2022-03-01
3806,256,2022-03-01
3807,37,2022-03-01
3808,27,2022-03-01
3809,100,2022-03-01
3810,211,2022-03-01
3812,17,2022-03-01
3813,5,2022-03-01
3814,13,2022-03-01
3815,12,2022-03-01
3816,10,2022-03-01
3818,61,2022-03-01
3820,99,2022-03-01
3821,11,2022-03-01
3822,5,2022-03-01
3823,8,2022-03-01
3824,22,2022-03-01
3825,69,2022-03-01
3831,9,2022-03-01
3832,2,2022-03-01
3833,3,2022-03-01
3835,2,2022-03-01
3840,53,2022-03-01
3842,20,2022-03-01
3844,182,2022-03-01
3847,8,2022-03-01
3850,74,2022-03-01
3851,35,2022-03-01
3854,6,2022-03-01
3856,7,2022-03-01
3857,1,2022-03-01
3858,16,2022-03-01
3859,9,2022-03-01
3860,38,2022-03-01
3862,25,2022-03-01
3865,1,2022-03-01
3869,6,2022-03-01
3870,9,2022-03-01
3871,11,2022-03-01
3873,1,2022-03-01
3874,2,2022-03-01
3875,95,2022-03-01
3878,5,2022-03-01
3880,22,2022-03-01
3882,10,2022-03-01
3885,7,2022-03-01
3886,3,2022-03-01
3887,2,2022-03-01
3888,10,2022-03-01
3889,4,2022-03-01
3890,2,2022-03-01
3892,5,2022-03-01
3893,1,2022-03-01
3896,3,2022-03-01
3898,2,2022-03-01
3903,4,2022-03-01
3904,9,2022-03-01
3909,38,2022-03-01
3910,106,2022-03-01
3911,12,2022-03-01
3912,69,2022-03-01
3913,17,2022-03-01
3915,32,2022-03-01
3916,5,2022-03-01
3918,17,2022-03-01
3919,14,2022-03-01
3920,3,2022-03-01
3922,41,2022-03-01
3923,3,2022-03-01
3925,20,2022-03-01
3926,8,2022-03-01
3927,6,2022-03-01
3928,4,2022-03-01
3929,8,2022-03-01
3930,64,2022-03-01
3931,165,2022-03-01
3933,9,2022-03-01
3934,62,2022-03-01
3936,60,2022-03-01
3937,5,2022-03-01
3938,13,2022-03-01
3939,62,2022-03-01
3940,14,2022-03-01
3941,43,2022-03-01
3942,12,2022-03-01
3943,9,2022-03-01
3944,5,2022-03-01
3945,3,2022-03-01
3946,1,2022-03-01
3950,23,2022-03-01
3951,2,2022-03-01
3953,48,2022-03-01
3954,3,2022-03-01
3956,15,2022-03-01
3957,1,2022-03-01
3958,1,2022-03-01
3959,6,2022-03-01
3960,9,2022-03-01
3962,4,2022-03-01
3964,3,2022-03-01
3966,2,2022-03-01
3971,19,2022-03-01
3975,65,2022-03-01
3976,48,2022-03-01
3977,387,2022-03-01
3978,198,2022-03-01
3980,15,2022-03-01
3981,26,2022-03-01
3984,35,2022-03-01
3987,6,2022-03-01
3988,1,2022-03-01
3991,1,2022-03-01
3992,9,2022-03-01
3995,41,2022-03-01
3996,30,2022-03-01
4005,1,2022-03-01
4006,3,2022-03-01
4014,1,2022-03-01
4020,1,2022-03-01
4076,1,2022-03-01
4107,12,2022-03-01
4108,1,2022-03-01
4110,1,2022-03-01
4117,3,2022-03-01
4129,1,2022-03-01
4172,1,2022-03-01
4178,4,2022-03-01
4207,1,2022-03-01
4214,1,2022-03-01
4220,1,2022-03-01
4225,1,2022-03-01
4350,2,2022-03-01
4573,1,2022-03-01
4655,2,2022-03-01
4803,1,2022-03-01
5000,4,2022-03-01
5007,1,2022-03-01
5033,7,2022-03-01
5061,1,2022-03-01
5063,1,2022-03-01
5068,1,2022-03-01
5074,1,2022-03-01
5160,1,2022-03-01
5211,1,2022-03-01
5262,1,2022-03-01
5277,1,2022-03-01
5280,1,2022-03-01
5290,2,2022-03-01
5950,9,2022-03-01
6035,1,2022-03-01
6083,4,2022-03-01
6090,1,2022-03-01
6102,1,2022-03-01
6106,9,2022-03-01
6109,1,2022-03-01
7000,48,2022-03-01
7008,1,2022-03-01
7009,1,2022-03-01
810,1,2022-05-01
850,1,2022-05-01
2000,45,2022-05-01
2009,1,2022-05-01
2015,1,2022-05-01
2018,1,2022-05-01
2019,1,2022-05-01
2042,1,2022-05-01
2046,1,2022-05-01
2047,1,2022-05-01
2060,9,2022-05-01
2064,16,2022-05-01
2065,66,2022-05-01
2073,15,2022-05-01
2080,24,2022-05-01
2103,1,2022-05-01
2113,5,2022-05-01
2128,8,2022-05-01
2130,1,2022-05-01
2138,1,2022-05-01
2141,15,2022-05-01
2147,1,2022-05-01
2148,4,2022-05-01
2153,6,2022-05-01
2190,6,2022-05-01
2198,2,2022-05-01
2199,1,2022-05-01
2209,16,2022-05-01
2211,1,2022-05-01
2212,7,2022-05-01
2232,6,2022-05-01
2250,1,2022-05-01
2300,6,2022-05-01
2303,1,2022-05-01
2500,1,2022-05-01
2546,1,2022-05-01
2560,1,2022-05-01
2567,1,2022-05-01
2594,2,2022-05-01
2602,1,2022-05-01
2603,1,2022-05-01
2609,1,2022-05-01
2617,1,2022-05-01
2620,1,2022-05-01
2640,21,2022-05-01
2641,3,2022-05-01
2642,2,2022-05-01
2646,1,2022-05-01
2647,2,2022-05-01
2650,1,2022-05-01
2656,1,2022-05-01
2658,1,2022-05-01
2666,1,2022-05-01
2707,1,2022-05-01
2711,1,2022-05-01
2715,1,2022-05-01
2729,1,2022-05-01
2731,3,2022-05-01
2732,1,2022-05-01
2734,1,2022-05-01
2739,1,2022-05-01
2747,1,2022-05-01
2756,1,2022-05-01
2761,1,2022-05-01
2765,1,2022-05-01
2766,2,2022-05-01
2800,1,2022-05-01
3000,536,2022-05-01
3002,97,2022-05-01
3003,25,2022-05-01
3004,196,2022-05-01
3005,3,2022-05-01
3006,233,2022-05-01
3008,74,2022-05-01
3011,63,2022-05-01
3012,73,2022-05-01
3013,45,2022-05-01
3015,51,2022-05-01
3016,63,2022-05-01
3018,50,2022-05-01
3019,85,2022-05-01
3020,122,2022-05-01
3021,96,2022-05-01
3022,4,2022-05-01
3023,260,2022-05-01
3024,105,2022-05-01
3025,39,2022-05-01
3026,127,2022-05-01
3027,37,2022-05-01
3028,66,2022-05-01
3029,544,2022-05-01
3030,390,2022-05-01
3031,45,2022-05-01
3032,69,2022-05-01
3033,53,2022-05-01
3034,32,2022-05-01
3036,23,2022-05-01
3037,143,2022-05-01
3038,83,2022-05-01
3039,59,2022-05-01
3040,97,2022-05-01
3041,104,2022-05-01
3042,91,2022-05-01
3043,647,2022-05-01
3044,76,2022-05-01
3045,8,2022-05-01
3046,98,2022-05-01
3047,35,2022-05-01
3048,43,2022-05-01
3049,31,2022-05-01
3051,46,2022-05-01
3052,11,2022-05-01
3053,34,2022-05-01
3054,10,2022-05-01
3055,16,2022-05-01
3056,173,2022-05-01
3057,28,2022-05-01
3058,100,2022-05-01
3059,76,2022-05-01
3060,40,2022-05-01
3061,82,2022-05-01
3062,25,2022-05-01
3063,5,2022-05-01
3064,371,2022-05-01
3065,37,2022-05-01
3066,40,2022-05-01
3067,25,2022-05-01
3068,42,2022-05-01
3070,113,2022-05-01
3071,23,2022-05-01
3072,158,2022-05-01
3073,105,2022-05-01
3074,75,2022-05-01
3075,50,2022-05-01
3076,135,2022-05-01
3078,35,2022-05-01
3079,41,2022-05-01
3081,36,2022-05-01
3082,85,2022-05-01
3083,113,2022-05-01
3084,67,2022-05-01
3085,38,2022-05-01
3087,31,2022-05-01
3088,88,2022-05-01
3089,41,2022-05-01
3090,9,2022-05-01
3091,5,2022-05-01
3093,13,2022-05-01
3094,33,2022-05-01
3095,87,2022-05-01
3096,4,2022-05-01
3097,4,2022-05-01
3099,8,2022-05-01
3101,64,2022-05-01
3102,25,2022-05-01
3103,56,2022-05-01
3104,62,2022-05-01
3105,34,2022-05-01
3106,64,2022-05-01
3107,28,2022-05-01
3108,261,2022-05-01
3109,97,2022-05-01
3111,37,2022-05-01
3113,27,2022-05-01
3114,8,2022-05-01
3115,12,2022-05-01
3116,49,2022-05-01
3121,278,2022-05-01
3122,64,2022-05-01
3123,59,2022-05-01
3124,77,2022-05-01
3125,81,2022-05-01
3126,30,2022-05-01
3127,66,2022-05-01
3128,76,2022-05-01
3129,48,2022-05-01
3130,111,2022-05-01
3131,119,2022-05-01
3132,63,2022-05-01
3133,71,2022-05-01
3134,142,2022-05-01
3135,55,2022-05-01
3136,214,2022-05-01
3137,71,2022-05-01
3138,80,2022-05-01
3139,64,2022-05-01
3140,85,2022-05-01
3141,77,2022-05-01
3142,75,2022-05-01
3143,22,2022-05-01
3144,78,2022-05-01
3145,61,2022-05-01
3146,61,2022-05-01
3147,38,2022-05-01
3148,24,2022-05-01
3149,136,2022-05-01
3150,226,2022-05-01
3151,50,2022-05-01
3152,99,2022-05-01
3153,118,2022-05-01
3154,14,2022-05-01
3155,56,2022-05-01
3156,158,2022-05-01
3158,20,2022-05-01
3159,9,2022-05-01
3160,20,2022-05-01
3161,34,2022-05-01
3162,42,2022-05-01
3163,76,2022-05-01
3164,3,2022-05-01
3165,85,2022-05-01
3166,105,2022-05-01
3167,22,2022-05-01
3168,123,2022-05-01
3169,53,2022-05-01
3170,373,2022-05-01
3171,64,2022-05-01
3172,54,2022-05-01
3173,122,2022-05-01
3174,83,2022-05-01
3175,361,2022-05-01
3177,25,2022-05-01
3178,141,2022-05-01
3179,13,2022-05-01
3180,27,2022-05-01
3181,50,2022-05-01
3182,45,2022-05-01
3183,29,2022-05-01
3184,41,2022-05-01
3185,63,2022-05-01
3186,102,2022-05-01
3187,59,2022-05-01
3188,49,2022-05-01
3189,107,2022-05-01
3190,34,2022-05-01
3191,38,2022-05-01
3192,103,2022-05-01
3193,62,2022-05-01
3194,48,2022-05-01
3195,152,2022-05-01
3196,75,2022-05-01
3197,39,2022-05-01
3198,59,2022-05-01
3199,227,2022-05-01
3200,5,2022-05-01
3201,108,2022-05-01
3202,15,2022-05-01
3204,132,2022-05-01
3205,59,2022-05-01
3206,29,2022-05-01
3207,188,2022-05-01
3211,9,2022-05-01
3212,104,2022-05-01
3213,13,2022-05-01
3214,60,2022-05-01
3215,78,2022-05-01
3216,192,2022-05-01
3217,86,2022-05-01
3218,48,2022-05-01
3219,50,2022-05-01
3220,250,2022-05-01
3221,19,2022-05-01
3222,70,2022-05-01
3223,36,2022-05-01
3224,64,2022-05-01
3225,28,2022-05-01
3226,61,2022-05-01
3227,12,2022-05-01
3228,86,2022-05-01
3230,11,2022-05-01
3231,4,2022-05-01
3232,1,2022-05-01
3233,11,2022-05-01
3234,2,2022-05-01
3235,2,2022-05-01
3237,3,2022-05-01
3238,3,2022-05-01
3239,3,2022-05-01
3240,9,2022-05-01
3241,9,2022-05-01
3242,3,2022-05-01
3243,2,2022-05-01
3249,12,2022-05-01
3250,48,2022-05-01
3251,4,2022-05-01
3254,2,2022-05-01
3260,25,2022-05-01
3264,5,2022-05-01
3265,12,2022-05-01
3266,11,2022-05-01
3267,3,2022-05-01
3268,18,2022-05-01
3269,5,2022-05-01
3270,3,2022-05-01
3271,1,2022-05-01
3272,5,2022-05-01
3273,2,2022-05-01
3274,3,2022-05-01
3276,3,2022-05-01
3277,9,2022-05-01
3278,1,2022-05-01
3280,156,2022-05-01
3281,12,2022-05-01
3282,12,2022-05-01
3283,6,2022-05-01
3284,18,2022-05-01
3285,6,2022-05-01
3286,4,2022-05-01
3287,2,2022-05-01
3289,5,2022-05-01
3292,1,2022-05-01
3293,2,2022-05-01
3294,5,2022-05-01
3300,51,2022-05-01
3301,7,2022-05-01
3302,4,2022-05-01
3304,10,2022-05-01
3305,57,2022-05-01
3309,1,2022-05-01
3311,5,2022-05-01
3312,5,2022-05-01
3314,2,2022-05-01
3315,10,2022-05-01
3317,1,2022-05-01
3318,4,2022-05-01
3321,9,2022-05-01
3322,2,2022-05-01
3323,1,2022-05-01
3324,3,2022-05-01
3325,1,2022-05-01
3328,8,2022-05-01
3329,2,2022-05-01
3330,1,2022-05-01
3331,32,2022-05-01
3332,6,2022-05-01
3333,4,2022-05-01
3334,3,2022-05-01
3335,38,2022-05-01
3336,79,2022-05-01
3337,152,2022-05-01
3338,127,2022-05-01
3340,119,2022-05-01
3341,8,2022-05-01
3342,22,2022-05-01
3345,2,2022-05-01
3350,225,2022-05-01
3351,42,2022-05-01
3352,98,2022-05-01
3355,113,2022-05-01
3356,41,2022-05-01
3357,13,2022-05-01
3358,16,2022-05-01
3361,4,2022-05-01
3363,6,2022-05-01
3364,12,2022-05-01
3370,11,2022-05-01
3371,2,2022-05-01
3373,8,2022-05-01
3374,6,2022-05-01
3375,1,2022-05-01
3377,19,2022-05-01
3378,2,2022-05-01
3379,2,2022-05-01
3380,22,2022-05-01
3381,5,2022-05-01
3384,4,2022-05-01
3387,3,2022-05-01
3388,3,2022-05-01
3390,5,2022-05-01
3391,1,2022-05-01
3392,3,2022-05-01
3393,13,2022-05-01
3395,6,2022-05-01
3396,4,2022-05-01
3400,76,2022-05-01
3401,25,2022-05-01
3402,1,2022-05-01
3407,5,2022-05-01
3409,7,2022-05-01
3413,1,2022-05-01
3414,8,2022-05-01
3418,11,2022-05-01
3419,4,2022-05-01
3423,1,2022-05-01
3424,8,2022-05-01
3427,23,2022-05-01
3428,3,2022-05-01
3429,131,2022-05-01
3430,1,2022-05-01
3431,15,2022-05-01
3432,1,2022-05-01
3434,35,2022-05-01
3435,12,2022-05-01
3437,45,2022-05-01
3438,10,2022-05-01
3440,6,2022-05-01
3441,5,2022-05-01
3442,38,2022-05-01
3444,45,2022-05-01
3446,4,2022-05-01
3447,2,2022-05-01
3448,3,2022-05-01
3450,12,2022-05-01
3451,16,2022-05-01
3453,5,2022-05-01
3458,5,2022-05-01
3460,14,2022-05-01
3461,16,2022-05-01
3462,1,2022-05-01
3463,5,2022-05-01
3464,5,2022-05-01
3465,40,2022-05-01
3467,5,2022-05-01
3469,1,2022-05-01
3472,2,2022-05-01
3475,4,2022-05-01
3477,3,2022-05-01
3478,9,2022-05-01
3480,8,2022-05-01
3483,4,2022-05-01
3485,3,2022-05-01
3487,1,2022-05-01
3490,5,2022-05-01
3494,3,2022-05-01
3496,23,2022-05-01
3498,35,2022-05-01
3500,142,2022-05-01
3501,41,2022-05-01
3502,5,2022-05-01
3505,23,2022-05-01
3509,2,2022-05-01
3512,2,2022-05-01
3515,9,2022-05-01
3516,4,2022-05-01
3517,6,2022-05-01
3518,8,2022-05-01
3521,5,2022-05-01
3523,9,2022-05-01
3525,3,2022-05-01
3527,2,2022-05-01
3531,1,2022-05-01
3533,3,2022-05-01
3537,12,2022-05-01
3540,1,2022-05-01
3544,1,2022-05-01
3549,19,2022-05-01
3550,145,2022-05-01
3551,166,2022-05-01
3552,3,2022-05-01
3555,71,2022-05-01
3556,46,2022-05-01
3557,8,2022-05-01
3558,6,2022-05-01
3559,2,2022-05-01
3561,28,2022-05-01
3562,2,2022-05-01
3563,6,2022-05-01
3564,112,2022-05-01
3565,1,2022-05-01
3566,2,2022-05-01
3567,3,2022-05-01
3568,20,2022-05-01
3570,1,2022-05-01
3571,2,2022-05-01
3572,1,2022-05-01
3575,5,2022-05-01
3579,22,2022-05-01
3580,5,2022-05-01
3581,1,2022-05-01
3584,5,2022-05-01
3585,61,2022-05-01
3586,4,2022-05-01
3589,3,2022-05-01
3590,3,2022-05-01
3591,1,2022-05-01
3594,1,2022-05-01
3595,2,2022-05-01
3596,1,2022-05-01
3597,4,2022-05-01
3608,15,2022-05-01
3610,4,2022-05-01
3612,9,2022-05-01
3614,11,2022-05-01
3616,30,2022-05-01
3618,3,2022-05-01
3620,49,2022-05-01
3621,12,2022-05-01
3622,1,2022-05-01
3623,6,2022-05-01
3624,1,2022-05-01
3629,15,2022-05-01
3630,155,2022-05-01
3631,83,2022-05-01
3632,3,2022-05-01
3633,2,2022-05-01
3634,9,2022-05-01
3635,2,2022-05-01
3636,17,2022-05-01
3637,4,2022-05-01
3638,11,2022-05-01
3639,4,2022-05-01
3640,6,2022-05-01
3641,5,2022-05-01
3644,48,2022-05-01
3646,5,2022-05-01
3649,2,2022-05-01
3658,28,2022-05-01
3659,2,2022-05-01
3660,35,2022-05-01
3662,4,2022-05-01
3663,1,2022-05-01
3664,5,2022-05-01
3665,3,2022-05-01
3666,13,2022-05-01
3669,6,2022-05-01
3670,3,2022-05-01
3672,43,2022-05-01
3673,7,2022-05-01
3675,10,2022-05-01
3677,70,2022-05-01
3678,39,2022-05-01
3682,3,2022-05-01
3683,6,2022-05-01
3685,13,2022-05-01
3687,2,2022-05-01
3688,3,2022-05-01
3689,1,2022-05-01
3690,208,2022-05-01
3691,66,2022-05-01
3695,2,2022-05-01
3697,4,2022-05-01
3698,1,2022-05-01
3699,2,2022-05-01
3700,7,2022-05-01
3701,4,2022-05-01
3705,3,2022-05-01
3707,9,2022-05-01
3708,1,2022-05-01
3709,2,2022-05-01
3711,3,2022-05-01
3712,2,2022-05-01
3713,7,2022-05-01
3714,21,2022-05-01
3715,3,2022-05-01
3717,8,2022-05-01
3719,7,2022-05-01
3720,6,2022-05-01
3722,31,2022-05-01
3723,17,2022-05-01
3725,3,2022-05-01
3726,3,2022-05-01
3727,3,2022-05-01
3728,5,2022-05-01
3730,48,2022-05-01
3732,7,2022-05-01
3733,1,2022-05-01
3735,1,2022-05-01
3737,22,2022-05-01
3738,1,2022-05-01
3739,2,2022-05-01
3740,10,2022-05-01
3741,20,2022-05-01
3744,2,2022-05-01
3746,1,2022-05-01
3747,12,2022-05-01
3749,9,2022-05-01
3750,89,2022-05-01
3752,89,2022-05-01
3753,24,2022-05-01
3754,193,2022-05-01
3755,1,2022-05-01
3756,64,2022-05-01
3757,27,2022-05-01
3758,7,2022-05-01
3759,3,2022-05-01
3760,1,2022-05-01
3761,2,2022-05-01
3763,9,2022-05-01
3764,43,2022-05-01
3765,24,2022-05-01
3766,3,2022-05-01
3767,3,2022-05-01
3770,15,2022-05-01
3775,21,2022-05-01
3777,44,2022-05-01
3779,1,2022-05-01
3781,14,2022-05-01
3782,23,2022-05-01
3783,8,2022-05-01
3786,6,2022-05-01
3787,6,2022-05-01
3788,7,2022-05-01
3791,2,2022-05-01
3792,2,2022-05-01
3793,9,2022-05-01
3795,5,2022-05-01
3796,37,2022-05-01
3797,16,2022-05-01
3799,14,2022-05-01
3800,1,2022-05-01
3802,51,2022-05-01
3803,69,2022-05-01
3804,32,2022-05-01
3805,177,2022-05-01
3806,257,2022-05-01
3807,37,2022-05-01
3808,19,2022-05-01
3809,87,2022-05-01
3810,232,2022-05-01
3812,3,2022-05-01
3813,6,2022-05-01
3814,12,2022-05-01
3815,16,2022-05-01
3816,19,2022-05-01
3818,68,2022-05-01
3820,94,2022-05-01
3821,14,2022-05-01
3822,3,2022-05-01
3823,8,2022-05-01
3824,15,2022-05-01
3825,87,2022-05-01
3831,6,2022-05-01
3832,2,2022-05-01
3833,2,2022-05-01
3835,1,2022-05-01
3840,45,2022-05-01
3842,12,2022-05-01
3844,205,2022-05-01
3847,10,2022-05-01
3850,74,2022-05-01
3851,27,2022-05-01
3852,2,2022-05-01
3853,2,2022-05-01
3854,7,2022-05-01
3856,7,2022-05-01
3858,15,2022-05-01
3859,4,2022-05-01
3860,36,2022-05-01
3862,23,2022-05-01
3865,1,2022-05-01
3869,8,2022-05-01
3870,2,2022-05-01
3871,8,2022-05-01
3873,2,2022-05-01
3874,4,2022-05-01
3875,100,2022-05-01
3878,6,2022-05-01
3880,18,2022-05-01
3882,6,2022-05-01
3885,11,2022-05-01
3886,2,2022-05-01
3888,13,2022-05-01
3889,1,2022-05-01
3892,9,2022-05-01
3893,1,2022-05-01
3895,2,2022-05-01
3896,2,2022-05-01
3898,10,2022-05-01
3902,3,2022-05-01
3903,5,2022-05-01
3904,5,2022-05-01
3909,41,2022-05-01
3910,84,2022-05-01
3911,14,2022-05-01
3912,82,2022-05-01
3913,16,2022-05-01
3915,35,2022-05-01
3916,7,2022-05-01
3918,14,2022-05-01
3919,9,2022-05-01
3920,3,2022-05-01
3922,30,2022-05-01
3923,8,2022-05-01
3925,22,2022-05-01
3926,15,2022-05-01
3927,3,2022-05-01
3928,4,2022-05-01
3929,11,2022-05-01
3930,72,2022-05-01
3931,186,2022-05-01
3933,1,2022-05-01
3934,65,2022-05-01
3936,61,2022-05-01
3937,2,2022-05-01
3938,11,2022-05-01
3939,48,2022-05-01
3940,11,2022-05-01
3941,34,2022-05-01
3942,10,2022-05-01
3943,6,2022-05-01
3944,3,2022-05-01
3945,6,2022-05-01
3946,3,2022-05-01
3950,22,2022-05-01
3951,5,2022-05-01
3953,50,2022-05-01
3954,2,2022-05-01
3956,10,2022-05-01
3957,2,2022-05-01
3958,1,2022-05-01
3959,4,2022-05-01
3960,17,2022-05-01
3962,1,2022-05-01
3964,1,2022-05-01
3966,2,2022-05-01
3967,1,2022-05-01
3971,26,2022-05-01
3975,68,2022-05-01
3976,71,2022-05-01
3977,413,2022-05-01
3978,203,2022-05-01
3979,1,2022-05-01
3980,19,2022-05-01
3981,25,2022-05-01
3984,24,2022-05-01
3987,6,2022-05-01
3988,3,2022-05-01
3991,1,2022-05-01
3992,5,2022-05-01
3995,33,2022-05-01
3996,34,2022-05-01
4000,1,2022-05-01
4006,24,2022-05-01
4014,5,2022-05-01
4019,2,2022-05-01
4107,26,2022-05-01
4117,1,2022-05-01
4172,1,2022-05-01
4178,1,2022-05-01
4207,2,2022-05-01
4558,1,2022-05-01
4566,1,2022-05-01
4567,2,2022-05-01
4575,1,2022-05-01
4703,1,2022-05-01
5000,2,2022-05-01
5033,42,2022-05-01
5069,1,2022-05-01
5096,1,2022-05-01
5160,1,2022-05-01
5262,1,2022-05-01
5280,1,2022-05-01
5290,7,2022-05-01
5950,9,2022-05-01
6005,1,2022-05-01
6011,1,2022-05-01
6017,1,2022-05-01
6030,9,2022-05-01
6106,26,2022-05-01
7000,48,2022-05-01
7009,3,2022-05-01
7030,1,2022-05-01
7250,3,2022-05-01
7304,1,2022-05-01
7310,2,2022-05-01
7322,1,2022-05-01
